Question_title,Question_body,Question_answer_count,Question_comment_count,Question_creation_date,Question_favorite_count,Question_last_edit_date,Question_score,Question_tags,Question_view_count,Owner_creation_date,Owner_last_access_date,Owner_location,Owner_reputation,Owner_up_votes,Owner_down_votes,Owner_views,Answer_body,Answer_comment_count,Answer_creation_date,Answer_last_edit_date,Answer_score,Question_valid_tags
ODBC: ERROR [HY000] [Microsoft][DriverSupport] (1170),"<p>Getting this error when connecting Power BI with Azure Databricks through spark build in connector:-</p>

<blockquote>
  <p>Details: ""ODBC: ERROR [HY000] [Microsoft][DriverSupport] (1170)
  Unexpected response received from server. Please ensure the server
  host and port specified for the connection are correct.""</p>
</blockquote>

<p>I have checked many times host and port of the databrick cluster , and also tried after restarting of cluster .</p>

<p>Guide for the connection:-
<a href=""https://docs.azuredatabricks.net/user-guide/bi/power-bi.html"" rel=""nofollow noreferrer"">https://docs.azuredatabricks.net/user-guide/bi/power-bi.html</a></p>",2,0,2019-04-09 07:06:43.353000 UTC,,2019-04-09 07:51:03.503000 UTC,1,powerbi|azure-databricks,10672,2019-04-09 06:52:04.877000 UTC,2019-06-10 05:06:59.473000 UTC,,11,0,0,1,,,,,,[]
git rebase -i foo/dev gives noop,"<p>When I try to get into the interactive rebase mode as explained <a href=""http://schacon.github.io/gitbook/4_interactive_rebasing.html"" rel=""nofollow"">here</a>, all I'm getting is <strong>noop</strong> which is weird but I cannot figure out why.</p>

<p>I am inside a temp branch in my machine and when I try to view the difference between, I get this:</p>

<pre>
Tugberk@TUGBERKPC /D/Dropbox/AppsPublic/gulp-aspnet-k (temp-a)
$ git log --pretty=oneline  temp-a..ajryan/dev
f0ef4ee40fde4de5360515fd556de9c3ed40431c update readme with new optionsfcba1ae3306ae041a1d82647e4cf65a0c96fe2f7 do not loop for build, restore8bedd238660908f06d698815ef12fce786d716ed fix command concat
e2e3a0d00e3950911c00c0e6e51a671f5f2ac2d3 bump version
d65923ff91eb9d6b9782bc2bf5ab606d19733203 add quiet option
91a1faff0a3aa1ca552df2151190a3ecd87cfc6f allow caller to loop all comma962c55854457314324d81457c42913532875cc85 trailing whitespace, tabs > sp
</pre>

<p>However, when I run the following command, I'm getting noop:</p>

<pre>
Tugberk@TUGBERKPC /D/Dropbox/AppsPublic/gulp-aspnet-k (temp-a)
$ git rebase -i ajryan/dev
</pre>

<p>Any idea why and what am I doing wrong?</p>",1,1,2014-11-23 23:38:59.713000 UTC,1.0,2014-11-23 23:49:07.597000 UTC,2,git|dvcs,4838,2010-10-01 10:58:31.217000 UTC,2021-07-23 16:13:45.477000 UTC,"Cambridge, United Kingdom",55556,1795,64,4460,,,,,,[]
Pyspark is trying to convert column to bool. Why?,"<p>I have some SQL that creates a temp table:</p>
<pre><code>%sql
CREATE OR REPLACE TEMPORARY VIEW MyTempTable AS 
select
  SaleDate,
  Count(salesId) as count_of_sales
from
  myviews.completed_sales
where
  SaleDate between '2018-01-01 00:00:00'
  and '2020-12-31 23:59:59'
group by
  SaleDate
</code></pre>
<p>This gives me the following results: a sample</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th>SaleDate</th>
<th>count_of_sales</th>
</tr>
</thead>
<tbody>
<tr>
<td>2020-12-20</td>
<td>20</td>
</tr>
<tr>
<td>2020-11-21</td>
<td>83</td>
</tr>
<tr>
<td>2020-10-20</td>
<td>6</td>
</tr>
<tr>
<td>2020-09-01</td>
<td>1365</td>
</tr>
<tr>
<td>2020-08-20</td>
<td>408</td>
</tr>
</tbody>
</table>
</div>
<p>I then want to send this to a dataframe and begin using fbprophet model:</p>
<pre><code>import pyspark
import pandas as pd
from fbprophet import Prophet
df = spark.table('MyTempTable')
#display(df)


# instantiate the model and set parameters
model = Prophet(
    interval_width=0.95,
    growth='linear',
    daily_seasonality=False,
    weekly_seasonality=True,
    yearly_seasonality=True,
    seasonality_mode='multiplicative'
)

# fit the model to historical data
model.fit(df)
</code></pre>
<p>I get the following error when I try to run it:</p>
<pre><code>ValueError: Cannot convert column into bool: please use '&amp;' for 'and', '|' for 'or', '~' for 'not' when building DataFrame boolean expressions.
</code></pre>
<p>update: Full error</p>
<pre><code>ValueError                                Traceback (most recent call last)
&lt;command-4274713499654188&gt; in &lt;module&gt;
     17 
     18 # fit the model to historical data
---&gt; 19 model.fit(df)
     20 

/local_disk0/.ephemeral_nfs/envs/pythonEnv-1/lib/python3.8/site-packages/fbprophet/forecaster.py in fit(self, df, **kwargs)
   1099             raise Exception('Prophet object can only be fit once. '
   1100                             'Instantiate a new object.')
-&gt; 1101         if ('ds' not in df) or ('y' not in df):
   1102             raise ValueError(
   1103                 'Dataframe must have columns &quot;ds&quot; and &quot;y&quot; with the dates and '

/databricks/spark/python/pyspark/sql/column.py in __nonzero__(self)
    911 
    912     def __nonzero__(self):
--&gt; 913         raise ValueError(&quot;Cannot convert column into bool: please use '&amp;' for 'and', '|' for 'or', &quot;
    914                          &quot;'~' for 'not' when building DataFrame boolean expressions.&quot;)
    915     __bool__ = __nonzero__
</code></pre>",0,8,2021-04-26 09:30:39.460000 UTC,,2021-04-26 09:35:55.687000 UTC,1,pyspark|apache-spark-sql|azure-databricks|facebook-prophet,384,2013-10-01 20:07:40.060000 UTC,2021-10-01 13:27:31.087000 UTC,United Kingdom,55,3,0,48,,,,,,[]
automatic creation of jira ticket whenever job fails on azure databricks,"<p>I have a job in azure databricks. currently it sends a notification to email on failure. I want to create a jira ticket automatically whenever job fails.
How do i achieve this?</p>",0,1,2021-12-22 08:43:29.347000 UTC,,,0,azure|azure-devops|azure-databricks,30,2021-12-22 08:39:52.257000 UTC,2022-03-04 05:08:28.210000 UTC,,1,0,0,1,,,,,,[]
Databricks Notebook Command Status Handshake with ADF,"<p>I have an ADF pipeline which has around 30 activities that call Databricks Notebooks. The activities are arranged sequentially, that is, one gets executed only after the successful completion of the other.</p>
<p>However, at times, even when there is a run time error with a particular notebook, the activity that calls the notebook is not failing, and the next activity is triggered. Ideally, this should not happen.</p>
<p>So, I want to keep an additional check on the link condition between the activities. I plan to put a condition on the status of the commands running in the notebook (imagine a notebook has 10 python commands, I want to capture the status of 10th command).</p>
<p>Is there a way to configure this? Appreciate ideas. Thank you.</p>",1,1,2021-12-03 00:49:32.397000 UTC,,,0,python-3.x|azure-data-factory|pipeline|azure-databricks,49,2021-06-28 19:54:30.930000 UTC,2022-03-05 22:49:45.047000 UTC,,23,0,0,5,,,,,,[]
How to move and copy files/read files from Azure Blob into databricks and transform the file and send to target bob container,"<p>I am new beginner in to Azure Databricks. I wanted to know how can we copy and read files from Azure Blob source container into databricks, transform as needed and sent back to target container in blob.</p>
<p>Can some provide python code here?</p>",1,0,2021-01-07 20:40:44.080000 UTC,,,-1,azure-databricks,800,2021-01-07 20:28:43.977000 UTC,2021-01-15 21:47:19.910000 UTC,"Dallas, TX, USA",1,0,0,0,,,,,,[]
Referring to the current bookmark in mercurial,"<p>I am using bookmarks in mercurial to emulate a git branches-like workflow. </p>

<p>One thing I'm finding is that whenever I push, I invariably want to push just the current bookmark. Rather than typing</p>

<pre><code>hg push -B &lt;bookmark_name&gt;
</code></pre>

<p>all the time, I'd like to alias <code>hg push</code> to just push the current bookmark. To do that, I need a way of referring to the current bookmark without mentioning its name. Is there a way to do that?</p>",5,0,2013-09-12 17:58:31.570000 UTC,,,5,version-control|mercurial|branch|dvcs,1653,2009-07-21 00:16:41.453000 UTC,2022-03-06 00:44:56.803000 UTC,"Toronto, ON, Canada",46459,3245,69,1439,,,,,,[]
How should framework/library files be treated in git?,"<p>What is the best practice with versioning projects with multiple 3rd party libraries in git or other DVSC? Should the project source code be mixed with libraries in the same repository, or should they be separated somehow, or not versioned at all? Is this a good place for using submodules? I am talking about uncompiled libraries(php frameworks for example)</p>",1,2,2012-01-31 23:46:05.087000 UTC,,2012-01-31 23:54:08.827000 UTC,2,git|version-control|dvcs|php,333,2012-01-22 15:44:27.600000 UTC,2021-11-03 12:55:48.493000 UTC,"Prague, Czechia",137,11,0,17,,,,,,[]
How to get the last modification time of each files present in azure datalake storage using python in databricks workspace?,"<p>I am trying to get the last modification time of each file present in azure data lake.</p>

<p><strong>files = dbutils.fs.ls('/mnt/blob')</strong></p>

<p>for fi in files: 
    print(fi)</p>

<p>Output:-FileInfo(path='dbfs:/mnt/blob/rule_sheet_recon.xlsx', name='rule_sheet_recon.xlsx', size=10843)</p>

<p>Here i am unable to get the last modification time of the files. Is there any way to get that property.</p>

<p>I tries this below shell command to see the properties,but unable to store it in python object.</p>

<p><strong>%sh ls -ls /dbfs/mnt/blob/</strong></p>

<p>output:-
total 0</p>

<p>0 -rw-r--r-- 1 root root 13577 Sep 20 10:50 a.txt</p>

<p>0 -rw-r--r-- 1 root root 10843 Sep 20 10:50 b.txt</p>",3,0,2019-10-04 13:24:07.500000 UTC,3.0,2019-11-01 10:52:52.743000 UTC,6,python|azure|azure-data-lake|azure-databricks,5355,2018-06-28 18:39:34.413000 UTC,2020-03-13 06:22:39.747000 UTC,,77,2,0,5,,,,,,[]
Trying to read excel file from Spark (crealytics) but can't see data,"<p>1) I am trying to read first excel file using </p>

<pre><code>val df1 = spark.read.excel(
   dataAddress = dataAdd,
   header = true,
**maxRowsInMemory = 5)**
  .option(""ignoreLeadingWhiteSpace"", ""true"")
  .option(""ignoreTrailingWhiteSpace"", ""true"")
  .option(""inferSchema"", ""true"")
  .load(dataFilePath)
</code></pre>

<p>with enabled maxRowInMemory, so it doesn't give data but it only shows Schema.</p>

<p>But, If I removed maxRowInMemory I get data.</p>

<p>2)  But with another excel file if I remove maxRowInMemory, I am getting Cannot Convert String to Numeric Cell.....</p>

<p>Can anyone please help me in this.</p>",1,0,2020-05-04 18:17:47.470000 UTC,,,0,excel|scala|apache-spark|azure-databricks,437,2016-09-20 07:21:56.893000 UTC,2021-07-12 06:02:55.593000 UTC,,41,4,0,7,,,,,,[]
How to effectively fetch organization hierarchy from Microsoft Graph API using Pyspark/Python?,"<p>I'm trying to get the organization hierarchy (top to bottom approach) using Microsoft Graph API in Azure Databricks.</p>
<p>Below is the API I'm trying to query - <br>
<code>https://graph.microsoft.com/v1.0/users/{id}/directReports</code></p>
<p>Code Used -</p>
<pre><code>url = &quot;https://graph.microsoft.com/v1.0/users/{id}/directReports&quot;

payload={}

response = requests.request(&quot;GET&quot;, url, headers=headers, data=payload)

df = spark.read.json(sc.parallelize([response.text]))

df = df.select(f.explode_outer('value').alias('data'))

df = df.select(&quot;data.*&quot;)
df.write.mode(&quot;overwrite&quot;).saveAsTable(&quot;default.orgTree&quot;)
</code></pre>
<p>Now, for the 1st instance (topmost level is CEO) it works. Below are the list of columns I was able to populate within <code>default.orgTree</code>- <br></p>
<pre><code>['@odata.type',  'businessPhones',  'displayName',  'givenName',  'id',  'jobTitle',  'mail',  'mobilePhone',  'officeLocation',  'preferredLanguage',  'surname',  'userPrincipalName']
</code></pre>
<p>However, next level(I fetched all the <code>id</code> - extracted under 1st iteration) onwards in some cases there are blanks and in some cases it contains multiple string dictionaries within a list. My requirement is to iterate till the lowest level (till whichever level direct reportee is available ) and append in <code>default.orgTree</code> respectively for parent and child.</p>
<p>Is there an effective way to achieve this complex scenario? I'm bit confused how to handle the subsequent iterations.</p>
<p>Please help.</p>",1,0,2021-10-20 14:52:10.430000 UTC,,2021-10-21 07:11:13.700000 UTC,0,python|azure|pyspark|microsoft-graph-api|azure-databricks,123,2021-08-20 14:18:09.427000 UTC,2022-03-04 17:03:01.683000 UTC,,3,0,0,6,,,,,,[]
Pushing logs to Log Analytics from Databricks,"<p>I have logs collected in Databricks cluster but I need to pushed to Log Analytics in Azure to have a common log collection</p>

<p>Have not tried anything but would like to know what the approach</p>",1,1,2019-04-02 19:55:13.253000 UTC,0.0,,1,azure-log-analytics|azure-databricks,164,2014-11-12 06:40:53.927000 UTC,2020-06-07 22:34:55.520000 UTC,,37,0,0,4,,,,,,[]
Gremlin intersection of common vertices,"<p>I have a query that looks like the following:</p>

<p><code>""g.V('0_mr').out().out()""</code></p>

<pre><code>v[11_i]
v[13_i]
v[22_i]
v[23_i]
v[25_i]
v[28_i]
v[11_i]
v[13_i]
v[19_i]
v[29_i]
</code></pre>

<p>Vertices <code>11_i</code> and <code>13_i</code> are common vertices for this traversal. How can filter to simply return the common intersecting vertices?</p>",1,0,2020-03-25 17:19:56.620000 UTC,,,1,gremlin|amazon-neptune|gremlinpython,161,2015-12-25 04:06:14.027000 UTC,2022-02-07 19:20:17.893000 UTC,,127,7,0,4,,,,,,[]
how to add a calculated column to a dataframe in scala/python?,"<p>First of all, I'm new to programming and just a beginner playing on azure databricks.
Currently, I have a dataframe named 'df' (huge data set with 50+ columns and above million rows) and I would like to add another calculated column to it based on the existing 'timestamp' column in it. </p>

<p>I'm comfortable with SQL so I converted the DF into the table and tried using </p>

<pre><code>ALTER TABLE logdata 
ADD sli VARCHAR(255)
</code></pre>

<p>but I was always hitting an error (code is right, working perfectly on W3schools) as below</p>

<blockquote>
  <p>Error in SQL statement: ParseException: 
  no viable alternative at input 'ALTER LOGDATA'(line 1, pos 6)</p>
</blockquote>

<p>So, I'm trying to use either scala or python. My use case is out of the huge dataframe 'df' I have a column called 'timestamp'(like 2019-04-18 07:31:45). I need to create a custom column that grabs only the 'mins' section of the timestamp and inserts it into the newly created column of the dataframe. I tried using withcolumn and lit from other user's suggestions, but no success. Can anyone help me with this please how to loop for this huge dataset?</p>",1,0,2019-10-09 03:54:42.393000 UTC,,2019-10-09 08:32:05.913000 UTC,0,mysql|python-3.x|scala|azure-databricks,439,2019-10-09 01:58:37.883000 UTC,2019-11-16 04:20:19.683000 UTC,,1,0,0,2,,,,,,[]
Adding key vault scopes for azure databricks having issues,"<p>I am trying to automate adding Keyvault scope for Azure DataBricks service.</p>

<p>Tried to use example from <a href=""https://github.com/DataThirstLtd/azure.databricks.cicd.tools/blob/master/Tests/Add-DatabricksSecretScope.tests.ps1"" rel=""nofollow noreferrer"">here</a></p>

<p><strong>Code</strong></p>

<pre><code>$Region = ""southindia""
$ResID = ""/subscriptions/*******/resourceGroups/******/providers/Microsoft.KeyVault/vaults/testkv123d""
$databricsOrgId = **********


Connect-Databricks -Region $Region -DatabricksOrgId $databricsOrgId `
    -ApplicationId ************ `
    -Secret ************ -TenantId ************  -Verbose

Connect-Databricks -Region $Region -ApplicationId ************** `
            -Secret ****************** `
            -ResourceGroupName ******* `
            -SubscriptionId ****************************** `
            -WorkspaceName *********** `
            -TenantId ********** -Verbose

Add-DatabricksSecretScope -ScopeName ""kvscope"" -Verbose -KeyVaultResourceId $ResID
</code></pre>

<p><strong>Issue Details</strong></p>

<pre><code>VERBOSE: POST https://southindia.azuredatabricks.net/api/2.0/secrets/scopes/create with -1-byte payload
Invoke-RestMethod : {""error_code"":""INTERNAL_ERROR"",""message"":""There was an internal error handling request POST to /api/2.0/secrets/scopes/create. Please try again later.""}
At C:\Program Files\WindowsPowerShell\Modules\azure.databricks.cicd.tools\2.0.55\Public\Add-DatabricksSecretScope.ps1:73 char:9
+         Invoke-RestMethod -Method Post -Body $BodyText -Uri ""$global: ...
+         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : InvalidOperation: (System.Net.HttpWebRequest:HttpWebRequest) [Invoke-RestMethod], WebException
    + FullyQualifiedErrorId : WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeRestMethodCommand
</code></pre>",1,2,2020-01-21 11:35:03.210000 UTC,,2020-01-22 02:56:44.977000 UTC,1,azure|powershell|azure-keyvault|azure-databricks,1010,2018-01-29 03:09:24.503000 UTC,2021-08-07 11:24:48.007000 UTC,"Chennai, Tamil Nadu, India",11,0,0,5,,,,,,[]
GIT GUI client on Windows for Unix GIT installation,"<p>Our company programs and runs data analysis on a Linux server.  The programming is done in Windows clients (SAS, generally).  Each project is only programmed by one person and is reviewed by another. </p>

<p>We would like to put our projects under version control but leave the code on the server (ie not pulling to local Windows repositories).  The advantage is incremental backup and helps with confirming changes from the reviewer.</p>

<p>Does anyone know of a Windows client that can read remote repositories but perform GIT actions using GIT on Linux, rather than on Windows?  Trying a few clients (e.g. SourceTree and SmartGIT) suggests only the latter is possible.</p>

<p>Thanks, Rich</p>",1,5,2013-05-14 08:35:54.463000 UTC,0.0,2013-05-14 09:23:20.767000 UTC,0,windows|git|version-control|sas|dvcs,377,2010-01-02 20:41:40.417000 UTC,2021-03-31 13:09:54.083000 UTC,,696,40,1,54,,,,,,[]
"How to use ""Spark Connection"" with databricks to extract data from SQL database and then convert to R dataframe?","<p>I am trying to extract data from an Azure SQL database into an R notebook on Azure Databricks to run an R script on it. Because of the difficulties I have experienced using jdbc and DBI (detailed here: <a href=""https://stackoverflow.com/questions/56756844/no-suitable-driver-error-when-using-sparklyrspark-read-jdbc-to-query-azure-s"">&quot;No suitable driver&quot; error when using sparklyr::spark_read_jdbc to query Azure SQL database from Azure Databricks</a> and here: <a href=""https://stackoverflow.com/questions/56701533/how-to-get-sql-database-connection-compatible-with-dbidbgetquery-function-when?noredirect=1#comment99967902_56701533"">How to get SQL database connection compatible with DBI::dbGetQuery function when converting between R script and databricks R notebook?</a>) I have decided to use the inbuilt spark connector as such (credentials changed for security reasons):</p>

<pre><code>%scala

//Connect to database:

import com.microsoft.azure.sqldb.spark.config.Config
import com.microsoft.azure.sqldb.spark.connect._

// Aquire a DataFrame collection (val collection)

val dave_connection = Config(Map(
  ""url""          -&gt; ""servername.database.windows.net"",
  ""databaseName"" -&gt; ""databasename"",
  ""dbTable""      -&gt; ""myschema.mytable"",
  ""user""         -&gt; ""username"",
  ""password""     -&gt; ""userpassword""
))

val collection = sqlContext.read.sqlDB(dave_connection)
collection.show()
</code></pre>

<p>This works in the sense that it displays the data, but as someone who doesn't know the first thing about scala or spark I now have no idea how to get it into an R or R-compatible dataframe.</p>

<p>I have tried to see what kind of object ""collection"" is, but:</p>

<pre><code>%scala
getClass(collection)
</code></pre>

<p>returns only: </p>

<pre><code>notebook:1: error: too many arguments for method getClass: ()Class[_ &lt;: $iw]
getClass(collection)
</code></pre>

<p>And trying to access it using sparklyr implies that it doesn't actually exist, e.g.</p>

<pre><code>library(sparklyr)
sc &lt;- spark_connect(method=""databricks"")

sdf_schema(collection)
</code></pre>

<p>returns:</p>

<pre><code>Error in spark_dataframe(x) : object 'collection' not found
</code></pre>

<p>I feel like this is may well be pretty obvious to anyone who understands scala, but I don't (I come from an analyst rather than computer science background), and I just want to get this data into an R dataframe to perform analyses on it. (I know Databricks is all about parallelisation and scaling, but I'm not performing any parallelised functions on this dataset, the only reason I'm using Databricks is because my work PC doesn't have sufficient memory to run my analyses locally!)</p>

<p>So, does anyone have any ideas on how I can convert this spark object ""collection"" into an R dataframe?</p>",0,0,2019-07-12 10:28:37.597000 UTC,,,1,r|scala|azure-sql-database|sparklyr|azure-databricks,293,2017-03-09 14:43:18.847000 UTC,2021-10-14 10:10:11.463000 UTC,"Bristol, UK",620,44,1,101,,,,,,[]
One Gremlin query to get all connected vertices for multiple vertices,"<p>may I get some help from improving our query?</p>
<p>So the idea is that we have many connected sub-graphs, and each vertex has an unique id. Now we know some of ids, and we want to get all of the connected vertices in one query.</p>
<p>For example, we have <strong>a -&gt; b &lt;- c -&gt; d</strong>, and <strong>e -&gt; f &lt;- g</strong>. Now the input is <strong>{b, e}</strong>, and the result we want is <strong>{a, b, c, d, e, f, g}</strong>. Because, {a, c, d} is connected to b and {f, g} is connected to e.</p>
<p>Current I’m using a very dumb query like</p>
<pre><code>g.V(&quot;b&quot;).emit().repeat(both().simplePath()).aggregate(&quot;connected&quot;)
 .V(&quot;e&quot;).emit().repeat(both().simplePath()).aggregate(&quot;connected&quot;)
 .select(&quot;connected&quot;).unfold().dedup()
</code></pre>
<p>which might work sometimes, but when (if) all the vertices are already connected to each other, I will run into MemoryLimitExceededException</p>",1,0,2021-04-13 00:02:47.910000 UTC,,2021-04-13 08:29:26.677000 UTC,0,java|gremlin|graph-databases|amazon-neptune,218,2021-04-12 23:53:10.487000 UTC,2021-08-17 23:25:43.207000 UTC,"Seattle, WA, USA",1,0,0,0,,,,,,[]
Unable to load the data from a MS SQL database from Microsoft Azure Databricks notebook,"<p>I want to retrieve the data from a MS SQL database (not hosted on Azure) to Microsoft Azure Databricks notebook.
Here are the steps of what I have done:</p>
<ol>
<li>go on the portal of azure and create a resource groups</li>
<li>create Azure Databricks Service (but I do NOT use the 'Deploy Azure Databricks workspace in your own Virtual Network (VNet)' option → maybe I should...)</li>
<li>once Azure Databricks Service is ready, I launch it and create a cluster without specific configuration</li>
<li>then I create a notebook (running on the previous cluster) with this script</li>
</ol>
<pre class=""lang-py prettyprint-override""><code>msSqlServer = &quot;jdbc:sqlserver://xxx.xxx.xxx.xxx:1433;ApplicationIntent=readonly;databaseName=&quot; + msSqlDatabase
query = &quot;&quot;&quot;(select * from mytable)foo&quot;&quot;&quot;

df = (
  spark.read.format(&quot;jdbc&quot;)
  .option(&quot;url&quot;, msSqlServer)
  .option(&quot;dbtable&quot;, query)
  .option(&quot;user&quot;, msSqlUser)
  .option(&quot;password&quot;, msSqlPassword)
  .load()
)
</code></pre>
<p>and I get this error:</p>
<pre><code>com.microsoft.sqlserver.jdbc.SQLServerException: The TCP/IP connection to the host xxx.xxx.xxx.xxx, port 1433 has failed. Error: &amp;#34;connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.&amp;#34;.
</code></pre>
<p>Before asking on StackoverFlow, I have contacted my company network and DBA teams. The DBA said the connection is okay but then disconnects immediatly&quot;</p>
<p>For your information, I have followed this tutorial <a href=""https://docs.microsoft.com/en-us/azure/databricks/data/data-sources/sql-databases"" rel=""nofollow noreferrer"">https://docs.microsoft.com/en-us/azure/databricks/data/data-sources/sql-databases</a></p>
<p>Maybe there is something to configure, but I am not in networking at all (I am just a little data scientist who wants to play with notebook on azure databricks and access his company databases). For example how can I <code>Make sure that TCP connections to the port are not blocked by a firewall</code> ?</p>
<p>If you have some idea or you have already met this issue, feel free to share. :)</p>
<p>If you need more information, please tell me.</p>",1,2,2020-09-03 14:33:58.497000 UTC,,2020-09-18 08:44:37.697000 UTC,0,sql-server|apache-spark|azure-databricks,506,2019-01-14 11:16:25.457000 UTC,2022-02-17 17:37:14.647000 UTC,,195,174,0,63,,,,,,[]
Azure DataBricks - webdriver installation best practices,"<p>What are the best practices regarding usage and installation of webdrivers in Azure DataBricks?</p>
<p>Currently I'm checking for the existence of <code>/tmp/chromedriver/chromedriver</code>, and if it does not, running the following:</p>
<pre class=""lang-py prettyprint-override""><code>installCommands = [
  'wget https://chromedriver.storage.googleapis.com/83.0.4103.39/chromedriver_linux64.zip -O /tmp/chromedriver_linux64.zip',
  'unzip /tmp/chromedriver_linux64.zip -d /tmp/chromedriver/',
  'sudo add-apt-repository ppa:canonical-chromium-builds/stage',
  '/usr/bin/yes | sudo apt update',
  '/usr/bin/yes | sudo apt install chromium-browser'
]

if not exists(driverPath):
  print('Downloading and installing ChromeDriver')
  for command in installCommands:
    print(f'&gt; {command}')
    system(command)
  print('Installation complete')
</code></pre>
<p>From what I've observed:</p>
<ul>
<li>the installation is specific to each notebook</li>
<li>installations aren't persistent, depending on cluster liveliness? possibly frequency of runs?</li>
<li>the download appears to cache, potentially same reasoning as above</li>
</ul>
<p>Would storing and retrieving the unpacked driver in something like <code>dbfs:FileStore/WebDrivers/...</code> make more sense, or is there a better method of having persistent installations to be shared by multiple notebooks?</p>
<p>Edit: I've tried importing chromedriver_binary after installing the specific version I need (<code>chromedriver-binary==83.0.4103.39.0</code>) at the cluster level, but does not appear to work</p>",0,2,2020-06-23 23:52:57.507000 UTC,1.0,2020-06-24 05:45:58.853000 UTC,0,python|selenium|pyspark|azure-databricks,373,2015-11-10 05:04:41.180000 UTC,2020-09-07 04:44:50.010000 UTC,,1,0,0,5,,,,,,[]
error: value show is not a member of Unit CaseFileDFTemp.show(),"<p>I ran below code in <code>databricks</code> scala notebook but I am getting error.</p>

<p>LIBRARY ADDED : azure-cosmosdb-spark_2.4.0_2.11-1.3.4-uber 
CODE :</p>

<pre><code>import org.apache.spark.rdd.RDD
import org.apache.spark.{SparkConf, SparkContext}

import spark.implicits._
import org.apache.spark.sql.functions._
import org.apache.spark.sql.Column
import org.apache.spark.sql.types.{StructType, StructField, StringType, IntegerType,LongType,FloatType,DoubleType, TimestampType}
import org.apache.spark.sql.cassandra._

//datastax Spark connector
import com.datastax.spark.connector._
import com.datastax.spark.connector.cql.CassandraConnector
import com.datastax.driver.core.{ConsistencyLevel, DataType}
import com.datastax.spark.connector.writer.WriteConf

//Azure Cosmos DB library for multiple retry
import com.microsoft.azure.cosmosdb.cassandra

import sqlContext.implicits._
spark.conf.set(""x"",""x"")
spark.conf.set(""x"",""x"")
spark.conf.set(""x"",""x"")
spark.conf.set(""x"",""x"")

val CaseFileDFTemp = sqlContext
  .read
  .format(""org.apache.spark.sql.cassandra"")
  .options(Map( ""table"" -&gt; ""case_files"", ""keyspace"" -&gt; ""shared""))
.load().show()

CaseFileDFTemp.show()

</code></pre>

<p><strong>ERROR:</strong></p>

<blockquote>
  <p>error: value show is not a member of Unit CaseFileDFTemp.show()</p>
</blockquote>",2,0,2020-01-10 06:04:47.847000 UTC,,2020-01-10 06:14:57.220000 UTC,0,sql|scala|apache-spark|azure-databricks|azure-cosmosdb-cassandra-api,1941,2017-09-23 03:41:56.653000 UTC,2020-01-23 07:06:03.373000 UTC,,1,0,0,7,,,,,,[]
How to make a generic pipeline for data transformation using Azure Databricks and Data Factory,"<p>I have a requirement to create a GUI to get some user input and also they can import a CSV file from GUI. Once the file is imported, I want to do data transformation on that file using Azure databricks(pyspark) and store the transformed data somewhere so that the user can download the transformed data. I would like to know how to make it a generic pipeline so that anyone in the organization can upload their file(it can have different columns and datatypes) and databricks does the transformation and stores the result. And for all these activities I want to leverage the Azure platform.</p>",1,0,2020-08-28 05:46:11.877000 UTC,,2020-08-31 07:21:34.730000 UTC,0,azure|azure-data-factory|azure-web-app-service|azure-databricks,171,2018-03-25 02:34:22.113000 UTC,2022-03-02 12:55:39.133000 UTC,,359,71,0,157,,,,,,[]
